halo_subs_idx,host_id,R_vir_host_kpc,r_gal_kpc,mpeak,vpeak,r_acc_kpc,M_V,r_half_kpc,mu_V,M_star,base_survival,f_wdm,weight,cosmo
756,23,278.48857142857145,108.7368307766436,14940000.0,9.8,8.678571428571429,0.7761030858206359,0.569594822552552,38.11938292191157,55.82886074908064,0.39071128287636525,0.29727258330656064,0.11614775238767747,WDM_8keV
757,23,278.48857142857145,190.34136895245408,16920000.0,7.42,6.675714285714286,0.7875601430121675,0.04374817957227394,32.557809744337405,55.242833068261774,0.5423578479846436,0.32377906457095806,0.17560411668318576,WDM_8keV
758,23,278.48857142857145,82.81407008522618,16920000.0,10.5,6.738571428571428,-0.28321430204965736,0.05246363186850079,31.881527128543937,148.11045660704843,0.6853817046164715,0.32377906457095806,0.22191224719476985,WDM_8keV
759,23,278.48857142857145,90.65075615701419,35810000.0,10.57,8.884285714285715,-0.2636453979963349,0.020937040871563926,29.90638077710026,145.46488206796022,0.33120821506675413,0.5025987888535168,0.16646484775088574,WDM_8keV
760,23,278.48857142857145,75.86208081856492,19460000.0,9.19,6.095714285714287,0.4942649582016312,0.019718972263623197,30.534136009742422,72.37590657679007,0.8037502701220376,0.35497988078915904,0.2853151750721753,WDM_8keV
761,23,278.48857142857145,223.56149955131795,12690000.0,9.01,6.5685714285714285,0.856192101163312,0.1339024342080874,35.05558413260524,51.85888316310301,0.6502296147966191,0.264498087708875,0.17198448968538418,WDM_8keV
762,23,278.48857142857145,110.70307869545168,38630000.0,11.06,9.714285714285715,-0.7046806866936972,0.03519274095400055,30.59303444807924,218.35959225757776,0.18181291040493117,0.5214792320606922,0.09481165689668294,WDM_8keV
763,23,278.48857142857145,49.760417840627724,11280000.0,9.2,6.168571428571428,0.7006497644269993,0.06284712814644947,33.25752662040066,59.84668431930883,0.8633421351423626,0.24234438493872398,0.2092261187327606,WDM_8keV
764,23,278.48857142857145,241.73196701626077,8459000.0,6.04,5.792857142857143,0.967539913715477,0.018275145989095482,30.842293859410145,46.804114650317224,0.8084916763812193,0.19372250072332628,0.15662302936256403,WDM_8keV
765,23,278.48857142857145,39.65342458896141,59780000.0,12.98,8.54857142857143,-1.0119789969260031,0.01926841088426709,28.977700167679316,289.79547423685966,0.2752211272786589,0.6274993993513994,0.1727010920561735,WDM_8keV
766,23,278.48857142857145,87.27297311730781,60340000.0,16.56,7.584285714285715,-3.478415335856252,0.0030894505549442243,22.536440579779043,2809.7400008257846,0.05657501605448678,0.6296715437165894,0.03562367769481952,WDM_8keV
767,23,278.48857142857145,171.77992921652887,105200000.0,13.71,8.102857142857143,-1.8486431410372974,0.0012768241690792076,22.247462004208252,626.2637243845918,0.6940761995672823,0.7475712099866246,0.5188713843334312,WDM_8keV
768,23,278.48857142857145,98.11986630273982,9869000.0,7.18,5.984285714285715,1.534761241690222,0.0168230440862158,31.229733827751634,27.75846862324511,0.8372142629387788,0.2187871272680834,0.1831717034962412,WDM_8keV
769,23,278.48857142857145,241.12146739936404,11840000.0,5.88,6.732857142857143,0.49818108976092557,0.030911244738896976,31.514213228928107,72.11532483720792,0.7031862136469154,0.2513019196349369,0.1767120453502927,WDM_8keV
770,23,278.48857142857145,172.509923405783,9587000.0,5.51,6.354285714285715,0.4816685372062173,0.003296112455624318,26.637128310035084,73.2204822805272,0.5934770115164671,0.21390080101059297,0.12694520814474522,WDM_8keV
771,23,278.48857142857145,216.6626593559351,8178000.0,7.78,6.2,0.6110896964127495,0.025042109226286424,31.169893894704284,64.99263148105321,0.6915253245380423,0.18853191556763524,0.13037459409868773,WDM_8keV
772,23,278.48857142857145,276.709032327145,12410000.0,6.09,5.701428571428572,0.9974922106166582,0.02716479162959088,31.732973771915596,45.53057298283466,0.8125387698180108,0.26020311157271603,0.21142511618011328,WDM_8keV
773,23,278.48857142857145,179.53263645091866,10150000.0,7.89,6.5685714285714285,0.6140981141827853,0.0008150641724919315,23.735506802164288,64.8127955771527,0.695567169921983,0.2235955692509444,0.15552573731097416,WDM_8keV
774,23,278.48857142857145,232.59864091413428,8741000.0,8.93,6.1485714285714295,1.0825982933055753,0.005897887051751059,28.50153022061466,42.097924284647604,0.7637427739311746,0.19886453059746056,0.15188134823502547,WDM_8keV
775,23,278.48857142857145,130.41417069616116,21430000.0,9.8,6.848571428571429,0.38282639967321774,0.05555352860745359,32.671834317292834,80.19908993625121,0.6132953357951828,0.3772593564419532,0.23137140369094225,WDM_8keV
776,23,278.48857142857145,257.70063552700236,7896000.0,8.99,5.804285714285714,1.4695318861779088,0.04747637779918551,33.41736944274942,29.47726905739368,0.8800172454071548,0.18325447152728508,0.1612670952419853,WDM_8keV
777,23,278.48857142857145,227.3044555441063,8178000.0,5.69,6.071428571428572,0.9478699499416203,0.0039556082081781165,27.499385967903706,47.65977854417899,0.7033880901673358,0.18853191556763524,0.13261110402670837,WDM_8keV
778,23,278.48857142857145,276.13184110758834,22840000.0,9.53,6.931428571428572,0.640456161671553,0.03732239221729342,32.06575319516769,63.25830273841531,0.6507473163090934,0.39228102268958065,0.2552758227542312,WDM_8keV
779,23,278.48857142857145,127.6288192776401,19180000.0,8.34,5.832857142857144,1.5427451474082776,0.13464010060150636,35.75406695564176,27.555096800801543,0.819141682711992,0.351682805986956,0.28807804547703014,WDM_8keV
780,23,278.48857142857145,172.63796907791098,12970000.0,7.61,5.927142857142858,1.104735895652024,0.0912452235472964,34.47123626417093,41.24826081400592,0.8112244557402363,0.268743192203517,0.21801104982919178,WDM_8keV
781,23,278.48857142857145,51.74190659377799,26790000.0,11.52,7.465714285714286,-0.7207800292446169,0.026061830012330294,29.924694180565886,221.62156211070936,0.32155308858060627,0.43074108300130387,0.13850612561762454,WDM_8keV
782,23,278.48857142857145,71.70361901321,23690000.0,8.35,6.861428571428572,0.45767049819059036,0.01330154291740149,29.642630269278026,74.85689357550176,0.5959216937993542,0.40099072952924525,0.23895907473890657,WDM_8keV
783,23,278.48857142857145,189.0583032845135,12970000.0,5.96,6.767142857142858,0.7738422415365207,0.010111689312352267,29.363410498371437,55.94523511945624,0.7101620082635598,0.268743192203517,0.1908512050824095,WDM_8keV
784,23,278.48857142857145,237.13109910609202,9869000.0,8.08,6.667142857142857,1.0828110028342013,0.060111997415811476,33.54306646897538,42.08967757381137,0.6912896228938945,0.2187871272680834,0.15124527070319188,WDM_8keV
