halo_subs_idx,host_id,R_vir_host_kpc,r_gal_kpc,mpeak,vpeak,r_acc_kpc,M_V,r_half_kpc,mu_V,M_star,base_survival,f_wdm,weight,cosmo
0,23,278.48857142857145,195.38295363573843,22360000000.0,70.37,86.6057142857143,-14.817095705042295,0.003316737960654305,11.351909772746094,96413596.15377043,0.8327352828067223,0.9999916320023992,0.8327283144798736,CDM
1,23,278.48857142857145,157.55784425318666,16580000000.0,60.75,76.57142857142858,-13.054234331768559,0.034233171068156605,18.183450990763415,19010508.457091473,0.9434652123237779,0.9999887148445252,0.9434545651721717,CDM
2,23,278.48857142857145,153.82765468842206,24900000000.0,66.6,92.03571428571429,-14.521289483587708,1.5037718687002155,24.930069968055466,73420238.92138806,0.7182072435940703,0.9999924855989205,0.7182018466967838,CDM
3,23,278.48857142857145,120.4857947423403,7713000000.0,48.19,60.657142857142865,-11.852950108294579,0.0015618517753182644,12.680698640473981,6287529.61024002,0.8935555639538134,0.999975741548285,0.8935338876793105,CDM
4,23,278.48857142857145,164.9589553154756,6037000000.0,45.08,49.19285714285715,-10.318009282879029,0.07096418270380202,22.50263641478157,1529338.821976661,0.7440101827301991,0.9999690070943136,0.7439871236927761,CDM
5,23,278.48857142857145,228.1312167170897,3140000000.0,35.83,43.792857142857144,-8.779495231903834,0.016676549625241444,20.89648543976716,370764.4557553895,0.8523535917554987,0.9999404143966144,0.8523028037524362,CDM
6,23,278.48857142857145,154.62855427092677,2367000000.0,30.86,40.074285714285715,-8.149614572643745,0.400173706030131,28.427077844825288,207561.03568164984,0.9687793002382742,0.9999209568502145,0.9687027248709364,CDM
7,23,278.48857142857145,199.08513510658298,2329000000.0,33.05,41.10857142857143,-8.511992710958207,0.03630552113818538,22.85332033546428,289799.1346928237,0.8922068384083004,0.9999196672850865,0.8921351650107067,CDM
8,23,278.48857142857145,176.93500824556602,2381000000.0,33.61,38.37714285714286,-8.743983886509088,0.20124084226581337,26.3400464160723,358833.97380855755,0.9524611997865059,0.999921421577935,0.9523863568883485,CDM
9,23,278.48857142857145,218.31992906871557,3648000000.0,42.95,43.02142857142857,-10.326326192427434,0.28549257041374687,25.51709753226516,1541098.7811816798,0.6879726843856198,0.9999487115255079,0.6879373993161454,CDM
10,23,278.48857142857145,96.98291349615548,13690000000.0,56.98,63.90857142857143,-13.178271526198284,3.0672132456628662,27.82089799982174,21311234.62640855,0.3383640923627207,0.9999863325471315,0.3383594677874359,CDM
11,23,278.48857142857145,60.94307313604138,10330000000.0,66.36,77.89714285714285,-14.500623257123525,0.12688394092851088,19.581859709136182,72035952.4695699,0.602721118918013,0.9999818870673987,0.6027102018710087,CDM
12,23,278.48857142857145,185.78930023451485,2031000000.0,30.52,38.894285714285715,-8.044469307283816,0.19420488285426218,26.96228108905129,188402.96052054942,0.7526243681139756,0.9999078814984451,0.7525550374849512,CDM
13,23,278.48857142857145,155.12165206307355,2291000000.0,31.84,40.89857142857144,-8.735294860600504,0.009621571382715799,19.746384841539747,355973.7258744694,0.7576105657734262,0.9999183349443561,0.7575486954644159,CDM
14,23,278.48857142857145,116.48533760758419,1861000000.0,35.99,38.33714285714286,-9.432777845216027,0.7273823017809807,28.441485474983704,676723.3129628191,0.7716721634838757,0.9998994674398965,0.7715945853057201,CDM
15,23,278.48857142857145,77.14738214242087,2608000000.0,37.03,37.99285714285714,-9.185355917386566,0.029762504657914805,21.748441135414904,538818.3367460112,0.4472488739879493,0.999928260541013,0.4472167885956969,CDM
16,23,278.48857142857145,223.7554495972914,3680000000.0,43.49,37.34714285714286,-10.850766931854693,0.04072976208015681,20.764242105014798,2498082.475543161,0.6481838162675114,0.9999491574894532,0.6481508609749966,CDM
17,23,278.48857142857145,206.90003994831238,3241000000.0,39.7,28.008571428571432,-9.682946632684796,0.07916378978827637,23.375135922725317,852076.6281304433,0.9708564284285065,0.9999422711682179,0.9708003820210651,CDM
18,23,278.48857142857145,266.75476584691336,950800000.0,23.62,28.64,-6.40573725609917,0.006485391045169922,21.219393252624712,41648.07208419238,0.9680358567984817,0.9998032467400316,0.9678453925878903,CDM
19,23,278.48857142857145,220.79445099874414,1095000000.0,26.33,31.485714285714288,-6.894065720539895,0.1302765280089463,27.245714828824454,65301.970773727895,0.7251598202246521,0.9998291526289436,0.7250359285757709,CDM
20,23,278.48857142857145,208.8852150374171,768700000.0,19.21,27.265714285714285,-4.490561394287293,0.3912623021217242,32.037228306180346,7137.145618479985,0.9929296295313902,0.9997566485799826,0.9926879986960664,CDM
21,23,278.48857142857145,248.4954674575335,4553000000.0,34.28,33.81,-8.66111579823789,0.15262342149298908,25.82243979909516,332465.29646720836,0.7064579631010117,0.9999589057166671,0.7064289317173132,CDM
22,23,278.48857142857145,274.27789460579885,2165000000.0,34.05,31.83571428571429,-9.276295103982136,0.00672857303450307,18.42876942075919,585892.6388812175,0.7025818693478281,0.9999135825640778,0.7025211540241536,CDM
23,23,278.48857142857145,256.11296694375625,1332000000.0,25.37,25.13857142857143,-6.579120960397092,0.061830838924501676,25.942354405859312,48859.428652623945,0.9900306535394116,0.9998595468565388,0.989891600621999,CDM
24,23,278.48857142857145,212.14363780520526,1077000000.0,22.62,25.96142857142857,-5.624975068086559,0.26088028099321636,30.022680870684646,20290.372834052258,0.9924672370445081,0.9998262977396183,0.9922948432420787,CDM
25,23,278.48857142857145,148.37871429940296,1511000000.0,33.32,32.88857142857143,-8.561004500386833,0.004297996187021657,18.170775299859113,303180.87369352975,0.3969978014158806,0.99987618351046,0.3969486465417542,CDM
26,23,278.48857142857145,134.5050139418968,8508000000.0,53.11,40.25142857142857,-12.484415384527377,0.01859329657717969,17.427816269749314,11247762.92218658,0.46524109931655444,0.9999780082434954,0.46523086784758233,CDM
27,23,278.48857142857145,166.3356693495372,2312000000.0,34.92,26.635714285714286,-9.167689219639197,0.3313588026053841,26.999253012207742,530121.8292137084,0.8627074579414584,0.9999190766514007,0.8626376447651002,CDM
28,23,278.48857142857145,84.75388739503998,1361000000.0,31.36,25.870000000000005,-8.37055616390581,0.12028718800380697,25.595990368727627,254403.13895923647,0.7454018802701412,0.9998625391992542,0.7452994167308018,CDM
29,23,278.48857142857145,243.77439093036674,602600000.0,20.19,21.688571428571432,-5.077156433004929,0.13290071766616604,29.105929868624116,12250.747062301287,0.9991103826796764,0.9996895923891019,0.9988002512127654,CDM
30,23,278.48857142857145,59.989686188379586,2441000000.0,40.72,47.267142857142865,-10.963027068273028,2.54106116842675,29.62749820018907,2770198.1015598536,0.6023615308382734,0.9999233528938425,0.602315361570074,CDM
31,23,278.48857142857145,66.00543576873756,3539000000.0,38.11,46.10142857142858,-9.56331591687546,0.25663303069862897,26.04869651785716,763178.921177594,0.37098275154938243,0.9999471319418202,0.3709631384116898,CDM
32,23,278.48857142857145,62.22249904781571,705500000.0,28.28,25.737142857142857,-7.268487877490956,0.22587857009294146,28.066336942431597,92192.40638874825,0.6407168179315712,0.9997348545172382,0.6405469347615671,CDM
33,23,278.48857142857145,154.67596412355778,873000000.0,20.65,24.232857142857146,-4.809643197990677,6.191374632112556,37.71474188994598,9575.407806911746,0.9176763733557017,0.9997857162624441,0.9174797302325522,CDM
34,23,278.48857142857145,219.52475291606444,413700000.0,20.03,22.954285714285717,-5.082606771888124,0.04985410150214435,26.97134736685683,12312.399788186984,0.9960220853729427,0.999547921236662,0.9955718049403299,CDM
35,23,278.48857142857145,235.63641397678762,450000000.0,20.0,23.575714285714287,-5.250973073379838,0.01957519851973901,24.77300747302743,14377.693770032816,0.864182348656126,0.9995843736901132,0.8638231717354847,CDM
36,23,278.48857142857145,212.31008752602406,545900000.0,24.8,23.195714285714285,-6.423162426927015,0.14343183291062134,27.92551498539652,42321.88188244966,0.727123032056258,0.9996573629503082,0.7268738927657912,CDM
37,23,278.48857142857145,266.9939665296983,436500000.0,18.29,24.72,-3.895360190800436,0.15322311005436068,30.59671084613909,4125.191140096967,0.7942787476008245,0.9995715248037684,0.7939384188585836,CDM
38,23,278.48857142857145,275.3239683554932,546500000.0,22.16,19.53571428571429,-5.332816330542156,0.02648550972231892,25.34767501781188,15503.38500322716,0.9991103826796764,0.9996577390006498,0.9987684261616393,CDM
39,23,278.48857142857145,236.9068365068268,294100000.0,14.59,19.575714285714287,-2.7339538287847835,0.01160487914299147,26.154698951763763,1415.4076270626836,0.9991103826796764,0.9993641943770771,0.9984751426804481,CDM
40,23,278.48857142857145,166.6019213697164,344300000.0,20.29,19.31,-5.223369686696816,2.7113185010730207,35.507982671941726,14016.767662688188,0.997053130023237,0.9994568461884885,0.9965115768153855,CDM
41,23,278.48857142857145,73.62108726305685,978500000.0,20.7,20.871428571428574,-5.302615491824489,0.11235108955039694,28.515720621299174,15078.085329459203,0.7455576900236309,0.9998088154861442,0.7454151509391123,CDM
42,23,278.48857142857145,213.8949737509551,345700000.0,19.64,21.16714285714286,-4.4874208581582264,0.020099180592946738,25.593920574661517,7116.530963248927,0.7751577037970037,0.9994590446319613,0.7747383780760582,CDM
43,23,278.48857142857145,68.97395101316724,708900000.0,29.09,28.375714285714288,-7.741327802592623,0.37057396907444506,28.668496413746198,142505.33421938051,0.37891627885230483,0.9997361258609524,0.3788162926454516,CDM
44,23,278.48857142857145,47.11248155602966,331000000.0,18.75,19.374285714285715,-4.415402533501729,0.0520931368697193,27.73394968710182,6659.797336392513,0.8665150834413898,0.9994350339715572,0.8660255318561122,CDM
45,23,278.48857142857145,231.61116165695577,1504000000.0,29.9,16.724285714285717,-7.943295727228114,0.03688239794683359,23.456249690664972,171639.91504074278,0.9988733585885801,0.9998756073089512,0.9987491060434883,CDM
46,23,278.48857142857145,257.8312840219501,252400000.0,13.54,19.498571428571427,-2.2554743203453347,0.15688091978101937,32.28782598506513,910.939906609831,0.9338892441719547,0.9992592286275224,0.9331974457548073,CDM
47,23,278.48857142857145,147.6782278455073,237200000.0,14.04,19.18,-2.298551562606371,0.007477464058530571,25.635669779347083,947.80855649022,0.9905454841516981,0.9992117969027686,0.9897647331331412,CDM
48,23,278.48857142857145,222.08462672722462,483600000.0,21.53,18.991428571428575,-5.643600501823726,0.10917867845800897,28.11253833471776,20641.44994377123,0.7866703584920034,0.999613239727369,0.7863661056496823,CDM
49,23,278.48857142857145,183.08444856437552,1610000000.0,32.5,24.452857142857145,-8.51941898177476,1.69160676780327,31.18752775916845,291788.1111744727,0.5578442877900034,0.9998837961818042,0.5577794641538035,CDM
50,23,278.48857142857145,258.28350702280716,288500000.0,17.85,15.815714285714286,-4.109138012961078,0.11459272334827834,29.75209686170956,5022.90778633375,0.9984049992231412,0.9993518609554765,0.9977578939608972,CDM
